Region,Year,Jelenie (tys zł),Sarny (tys zł),Dziki (tys zł),Jelenie (tony),Sarny (tony),Dziki (tony),Jelenie (odstrzał sztuki),Sarny (odstrzał sztuki),Dziki (odstrzał sztuki),Jelenie (ogółem tys. sztuk),Sarny (ogółem tys. sztuk),Dziki (ogółem tys. sztuk),Powierzchnia pożarów lasów (ha),Forest Lands - Grunty zalesione (ha),Forest Lands - Grunty niezalesione (ha),Powierzchnia lasów ogółem (ha)
REGION ŚLĄSKIE,2015,1175.6,755.1,283.9,163.0,52.0,59.0,3570.0,8163.0,11185.0,8.4,33.4,9.5,355.25,,,393858.49
REGION ŚLĄSKIE,2016,1675.5,1336.8,551.7,189.0,81.0,104.0,3870.0,8564.0,10708.0,7.9,33.1,9.1,138.48,,,394032.89
REGION ŚLĄSKIE,2017,1541.1,859.1,364.5,158.0,58.0,81.0,4264.0,9206.0,15672.0,11.2,37.8,7.9,74.0,386036.92,8765.09,394802.01
REGION ŚLĄSKIE,2018,1713.0,792.5,204.8,177.0,59.0,59.0,4272.0,9184.0,11162.0,10.5,38.2,3.1,197.3,385564.91,9208.18,394773.09
REGION ŚLĄSKIE,2019,2265.0,920.6,643.8,263.0,68.0,157.0,3730.0,8172.0,15561.0,10.0,37.0,2.6,147.77,386281.03,9455.33,395736.36
REGION ŚLĄSKIE,2020,872.0,494.9,154.9,166.0,55.0,57.0,3962.0,8228.0,10191.0,9.5,35.0,2.5,120.94,385986.27,9790.23,395776.5
REGION ŚLĄSKIE,2021,1536.7,1376.7,759.2,273.0,109.0,200.0,4276.0,8179.0,11057.0,9.7,34.9,2.2,26.3,386351.89,10416.63,396768.52
REGION ŚLĄSKIE,2022,2356.4,2265.4,874.7,261.0,125.0,150.0,4349.0,8733.0,12017.0,10.6,38.0,2.4,220.98,385911.81,10721.51,396633.32
REGION ŚLĄSKIE,2023,2846.3,2605.8,1630.7,318.0,127.0,190.0,4516.0,8384.0,15308.0,10.3,36.8,2.5,16.9,386599.65,10267.44,396867.09
REGION ŚLĄSKIE,2024,1912.2,1635.3,1170.9,278.0,113.0,225.0,5066.0,7772.0,15410.0,10.8,36.4,2.7,76.35,386272.86,9667.92,395940.78
REGION ŚWIĘTOKRZYSKIE,2014,72.1,117.2,7.1,11.0,9.0,2.0,741.0,3995.0,4074.0,3.1,20.7,5.5,236.34,,,330069.0
REGION ŚWIĘTOKRZYSKIE,2015,210.1,498.1,76.4,27.0,32.0,15.0,777.0,4141.0,4827.0,3.2,21.0,5.5,391.3,,,331043.79
REGION ŚWIĘTOKRZYSKIE,2016,131.2,159.5,22.1,16.0,10.0,5.0,890.0,4778.0,5380.0,3.6,23.0,5.5,118.11,,,331645.37
REGION ŚWIĘTOKRZYSKIE,2017,520.8,937.6,169.5,54.0,62.0,35.0,986.0,5437.0,6565.0,4.5,31.0,5.5,160.0,326472.1,5584.55,332056.65
REGION ŚWIĘTOKRZYSKIE,2018,237.9,501.8,32.8,25.0,37.0,10.0,1072.0,5521.0,4999.0,4.3,29.6,2.2,147.88,326795.92,5516.6,332312.52
REGION ŚWIĘTOKRZYSKIE,2019,467.0,634.2,142.1,54.0,46.0,38.0,1141.0,5759.0,7412.0,4.5,30.3,1.9,274.92,325918.42,5780.13,331698.55
REGION ŚWIĘTOKRZYSKIE,2020,215.1,482.4,25.4,39.0,45.0,8.0,1194.0,5595.0,4283.0,4.5,29.6,2.0,266.41,325284.75,5997.91,331282.66
REGION ŚWIĘTOKRZYSKIE,2021,217.2,560.8,57.1,35.0,38.0,10.0,388.0,1944.0,1432.0,4.6,29.9,1.8,46.88,326182.68,5750.37,331933.05
REGION ŚWIĘTOKRZYSKIE,2022,1218.2,1540.2,313.3,134.0,78.0,43.0,1426.0,5756.0,4894.0,4.9,30.1,1.8,241.03,326408.39,5547.87,331956.26
REGION ŚWIĘTOKRZYSKIE,2023,1015.7,1746.4,456.8,109.0,84.0,52.0,1667.0,6090.0,5810.0,5.0,28.7,1.8,34.12,326080.15,5618.02,331698.17
REGION ŚWIĘTOKRZYSKIE,2024,750.2,1190.7,202.7,110.0,81.0,32.0,1945.0,6185.0,4001.0,5.9,29.8,2.0,109.43,325518.43,5650.25,331168.68
